Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
71,196,"279, 304-A",19/11/17,19/11/17,City Ropar,Sunday,11:15,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,1,Intersection,Over Speeding,Old bus stand rupnagar,1,0,0,"30.966462, ",76.533348,NH,NH-103A,Urban
72,203,"279, 304-A ",24/11/17,01/12/17,City Ropar,Friday,9:30,Car/Jeep/Van,0,0,0,Pedestrian,1,1,0,Hit from back,1,Intersection,Over Speeding,Near PS Sadar Ropar,1,1,0,30.97695,76.535187,NH,NH-205,Urban
73,212,"279, 337, 427 ",09/12/17,10/12/17,City Ropar,Saturday,14:30,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Hit from back,0,Mid Block,Over Speeding,Near 132KV Sub Station rupngar,0,1,0,30.943738,76.534264,NH,NH-205,Urban
74,214,"279, 337, 427",14/12/17,15/12/17,City Ropar,Thursday,18:30,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Sant Karan Singh Academy Chowk,0,1,0,30.964468,76.505952,ODR,ODR-20,Urban
75,1,"279, 304-A, 337, 427",31/12/17,01/01/18,City Ropar,Sunday,17:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Bhatha sahib chowk rupnagar,1,0,0,30.9681843,76.5235027,ODR,ODR-11,Urban
76,2,"279, 337, 427, 338 & 177 MV ACT",30/12/17,01/01/18,City Ropar,Saturday,0:00,Two Wheeler,0,0,0,Two Wheeler,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Distict Jail ,Ropar",0,1,0,30.968154,76.5235146,ODR,ODR-11,Urban
77,7,"279,337,338,427,304-A ",13/01/17,15/01/17,Morinda,Friday,23:30,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Intersection,Approaching from wrong side,T-Ponit Saheri,1,0,0,30.814758,76.502578,ODR,ODR-08,Rural
78,9,"279,337,304-A,427 ",15/01/17,18/01/17,Morinda,Sunday,15:30,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Near Namdhari Workshop Marouli Kalan,1,0,0,30.786769,76.519188,SH,SH-08,Rural
79,30,"279,337,338,427,304-A ",20/02/17,21/02/17,Morinda,Monday,20:30,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Over Speeding,Near Village Marouli Kalan,1,0,0,30.785866,76.521246,SH,SH-08,Rural
80,32,"279, 337, 338, 427",22/02/17,23/02/17,Morinda,Wednesday,18:30,Car/Jeep/Van,0,0,0,Two wheeler,0,1,0,Head on,0,Intersection,Over Speeding,Chunni Chownk Morinda,0,1,0,30.775664,76.503127,NH,NH-95,Rural
81,35,"279,337,304-A,427 ",26/02/17,26/02/17,Morinda,Sunday,14:25,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,Sirhind Lights Morinda,1,0,0,30.784421,76.481131,NH,NH-95,Rural
82,38,"279, 337, 338, 427",03/04/17,03/06/17,Morinda,Monday,15:00,Tractor-Trolley,0,0,0,Two wheeler,0,1,0,Head on,1,Intersection,Approaching from wrong side,Near Village Ballan Kalan Road to Udhampur Nalan,0,1,0,30.803366,76.446711,Link Road,Link Road,Rural
83,39,"279,304-A ",03/09/17,03/09/17,Morinda,Sunday,18:50,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Dhiman Palace,1,0,0,30.790658,76.508403,SH,SH-08,Urban
84,44,"279,337,338,427,304-A ",22/03/17,22/03/17,Morinda,Wednesday,18:50,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,SUGAR MILL ROAD MORINDA,1,0,0,30.795497,76.49874,ODR,ODR-08,Urban
85,45,"279,337,304-A",18/03/17,24/03/17,Morinda,Saturday,21:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,MORINDA BY-PASS MORINDA,1,0,0,30.776167,76.501743,NH,NH-95,Rural
86,60,"279, 338, 427",28/04/17,01/05/17,Morinda,Friday,21:00,Two Wheeler,0,0,0,Two wheeler,0,1,0,Head on,1,Mid Block,Approaching from wrong side,Service Station Village Kanjla,0,1,0,30.797272,76.480711,Link Road,Link Road,Rural
87,74,"279,427,304-A ",13/05/17,24/05/17,Morinda,Saturday,20:30,Two Wheeler,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Sohi Petrol Pump Chatamla,1,0,0,30.814163,76.549625,MDR,MDR-31,Rural
88,81,"279,304-A,427 ",04/06/17,05/06/17,Morinda,Sunday,21:55,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Global Enclave Marauli Kalan,1,0,0,30.788726,76.579024,Link Road,Link Road,Rural
89,83,"279,304-A,427,338 ",10/06/17,10/06/17,Morinda,Saturday,15:30,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Intersection,Approaching from wrong side,Near Vill. Chatamla,1,0,0,30.805562,76.543251,Link Road,Link Road,Rural
90,108,"279,304-A ",01/08/17,02/08/17,Morinda,Tuesday,19:30,Unknown,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Near Palm Enclave Morinda,1,0,0,30.777564,76.502331,NH,NH-95,Rural
91,138,"279, 337, 427, 338",14/09/17,15/09/17,Morinda,Thursday,19:30,Bus/Truck,0,0,0,Two wheeler,0,1,0,Head on,1,Intersection,Approaching from wrong side,Between Rattangarh And Bhateri Vilage,0,1,0,30.78402,76.498436,Muncipality Road,Muncipality Road,Urban
92,144,"279, 337",14/09/17,02/10/17,Morinda,Thursday,21:00,Bus/Truck,0,0,0,Two wheeler,0,0,1,Head on,1,Intersection,Approaching from wrong side,Near grain Market Morinda,0,0,1,30.790361,76.490457,SH,SH-08,Urban
93,151,"279,304-A ",14/10/17,15/10/17,Morinda,Saturday,22:20,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,T-Point Kurali Road Morinda,1,0,0,30.790658,76.508403,SH,SH-08,Urban
